ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [us],Runtime Improvement [us],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block],Result Type
1128,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,66","0,00","47,27","81,64",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
1129,0.00,encode_blocks_kernel,encode_blocks_kernel..,"550,21","0,00","97,85","19,57",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
1130,0.00,encode_blocks_kernel,encode_blocks_kernel..,"142,14","0,00","94,94","18,97",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1131,0.00,encode_blocks_kernel,encode_blocks_kernel..,"141,92","0,00","95,17","19,02",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1132,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,38","0,00","47,22","81,99",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
1133,0.00,encode_blocks_kernel,encode_blocks_kernel..,"550,37","0,00","97,91","19,58",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
1134,0.00,encode_blocks_kernel,encode_blocks_kernel..,"141,95","0,00","94,84","18,96",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1135,0.00,encode_blocks_kernel,encode_blocks_kernel..,"141,92","0,00","94,93","18,97",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1136,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,54","0,00","47,16","82,09",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
1137,0.00,encode_blocks_kernel,encode_blocks_kernel..,"550,05","0,00","97,58","19,51",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
1138,0.00,encode_blocks_kernel,encode_blocks_kernel..,"141,92","0,00","94,79","18,95",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1139,0.00,encode_blocks_kernel,encode_blocks_kernel..,"141,89","0,00","94,97","18,98",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1140,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,57","0,00","47,30","82,41",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
1141,0.00,encode_blocks_kernel,encode_blocks_kernel..,"550,24","0,00","97,87","19,57",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
